round,strategy,dataset,cost,f1,ece
16,BADGE,yahoo_answers_topics,86.20636369233368,0.4510958955821981,0.3529784679412842
17,BADGE,yahoo_answers_topics,92.06606826799957,0.5024139745187346,0.3159691393375397
18,BADGE,yahoo_answers_topics,97.73450648258934,0.6337599600140955,0.39062047004699707
19,BADGE,yahoo_answers_topics,102.93454001859786,0.5953312723775518,0.34885862469673157
20,BADGE,yahoo_answers_topics,107.71566231113125,0.6238797848207035,0.3400775194168091
21,BADGE,yahoo_answers_topics,112.5719131814882,0.6015015193861066,0.2921702563762665
22,BADGE,yahoo_answers_topics,119.16754074536874,0.6350949793696723,0.27523401379585266
23,BADGE,yahoo_answers_topics,125.59844097633948,0.6231558389279952,0.29943835735321045
24,BADGE,yahoo_answers_topics,131.33206889522637,0.6113030307142912,0.23654203116893768
25,BADGE,yahoo_answers_topics,140.27256774042465,0.5846609204697442,0.21315759420394897
26,BADGE,yahoo_answers_topics,146.32217120929386,0.6211450963720848,0.2526099681854248
27,BADGE,yahoo_answers_topics,152.75180532426526,0.6463884927486943,0.259979784488678
28,BADGE,yahoo_answers_topics,158.3344626438801,0.6520211661288939,0.23883266746997833
29,BADGE,yahoo_answers_topics,162.2646621447522,0.6682106002019745,0.10649672150611877
30,BADGE,yahoo_answers_topics,172.06673835211046,0.6598009216165875,0.23333455622196198
31,BADGE,yahoo_answers_topics,178.8491129262936,0.6263023727980827,0.34381726384162903
32,BADGE,yahoo_answers_topics,185.69205437165087,0.004319559228650138,0.0985095277428627
33,BADGE,yahoo_answers_topics,191.20796737647194,0.600928552253539,0.07782405614852905
34,BADGE,yahoo_answers_topics,198.14161844515928,0.004139549770617731,0.12132036685943604
35,BADGE,yahoo_answers_topics,205.08117751301373,0.6271281750866214,0.09762552380561829
36,BADGE,yahoo_answers_topics,213.6896884216848,0.647209372737346,0.10567045956850052
37,BADGE,yahoo_answers_topics,220.55339797343254,0.6466931809203149,0.1173492893576622
38,BADGE,yahoo_answers_topics,228.16371907979936,0.6353975225218699,0.09051930904388428
39,BADGE,yahoo_answers_topics,236.7436868110087,0.6348759850438681,0.07963280379772186
0,CAL-Linear,yahoo_answers_topics,1.107232906141301,0.0,0.0
1,CAL-Linear,yahoo_answers_topics,2.2674843026062446,0.02035928143712575,0.01114586740732193
2,CAL-Linear,yahoo_answers_topics,3.5311171132144725,0.021862538118695752,0.029879942536354065
3,CAL-Linear,yahoo_answers_topics,4.763069552046296,0.018237082066869303,0.0039542242884635925
4,CAL-Linear,yahoo_answers_topics,6.082201343586318,0.045740454076367384,0.0044666677713394165
5,CAL-Linear,yahoo_answers_topics,7.44353186636217,0.01818181818181818,0.010763004422187805
6,CAL-Linear,yahoo_answers_topics,8.871601392577746,0.01981981981981982,0.0009292885661125183
7,CAL-Linear,yahoo_answers_topics,10.287168705918724,0.032327868852459016,0.005861349403858185
8,CAL-Linear,yahoo_answers_topics,11.773069208345984,0.014241486068111453,0.03137703984975815
9,CAL-Linear,yahoo_answers_topics,13.261593914166134,0.049060836117015894,0.0025706514716148376
10,CAL-Linear,yahoo_answers_topics,14.86133783971647,0.058599290780141845,0.01292426884174347
11,CAL-Linear,yahoo_answers_topics,16.46714987826561,0.04203389830508475,0.02223922312259674
12,CAL-Linear,yahoo_answers_topics,18.156551197469895,0.0837649005011434,0.058280229568481445
13,CAL-Linear,yahoo_answers_topics,19.843768688296077,0.055049249746847086,0.05761392414569855
14,CAL-Linear,yahoo_answers_topics,21.560075885566608,0.07072534035683269,0.006823159754276276
15,CAL-Linear,yahoo_answers_topics,23.361484356709948,0.13751922908941777,0.10729759186506271
16,CAL-Linear,yahoo_answers_topics,25.166617413568833,0.08243562539427653,0.08823687583208084
17,CAL-Linear,yahoo_answers_topics,27.016273936672736,0.014374999999999999,0.030982472002506256
18,CAL-Linear,yahoo_answers_topics,28.89096399312726,0.0909137968613775,0.06370080262422562
19,CAL-Linear,yahoo_answers_topics,30.89818983627629,0.25281479186393047,0.18215033411979675
20,CAL-Linear,yahoo_answers_topics,32.9387022238791,0.21453698235000657,0.16448014974594116
21,CAL-Linear,yahoo_answers_topics,35.02588196365746,0.3457706731417839,0.2505760192871094
22,CAL-Linear,yahoo_answers_topics,37.18332454017162,0.402340015904871,0.2935108244419098
23,CAL-Linear,yahoo_answers_topics,39.41014531553741,0.47713880870831843,0.36417078971862793
24,CAL-Linear,yahoo_answers_topics,41.66633804853704,0.3723208790032557,0.26160693168640137
25,CAL-Linear,yahoo_answers_topics,44.02714016866292,0.48400180072578464,0.3222559094429016
26,CAL-Linear,yahoo_answers_topics,46.420028720944345,0.3446564730307488,0.2815300524234772
27,CAL-Linear,yahoo_answers_topics,48.930546488127796,0.012590889382333232,0.09005512297153473
28,CAL-Linear,yahoo_answers_topics,51.455568683030336,0.5086761155439177,0.2504424452781677
29,CAL-Linear,yahoo_answers_topics,54.025054923818125,0.43924943180574283,0.29016581177711487
30,CAL-Linear,yahoo_answers_topics,56.667860211069225,0.5027761885380934,0.2276516556739807
31,CAL-Linear,yahoo_answers_topics,59.388457488905146,0.5441356183741923,0.3182336091995239
32,CAL-Linear,yahoo_answers_topics,62.24735324936491,0.47868328358640283,0.16338230669498444
33,CAL-Linear,yahoo_answers_topics,65.16459032440589,0.5807055238863803,0.2908400893211365
34,CAL-Linear,yahoo_answers_topics,68.14849250490673,0.5599251108028545,0.29057541489601135
35,CAL-Linear,yahoo_answers_topics,71.09555848321244,0.004018492176386913,0.12080895900726318
36,CAL-Linear,yahoo_answers_topics,74.20388798644242,0.006661110278693437,0.09277521818876266
37,CAL-Linear,yahoo_answers_topics,77.45980229768726,0.5640089952767859,0.12022325396537781
38,CAL-Linear,yahoo_answers_topics,80.73015030714375,0.014374999999999999,0.0270465686917305
39,CAL-Linear,yahoo_answers_topics,84.03265483009719,0.015604458964641183,0.09185563027858734
0,CAL-Log,yahoo_answers_topics,1.1084051206971843,0.0,0.0
1,CAL-Log,yahoo_answers_topics,2.2663508812374364,0.01981981981981982,0.00564190000295639
2,CAL-Log,yahoo_answers_topics,3.5258574564546814,0.020420420420420422,0.0036094263195991516
3,CAL-Log,yahoo_answers_topics,4.782079709757589,0.035172509803011676,0.02449258416891098
4,CAL-Log,yahoo_answers_topics,6.105026071563588,0.07729762061963305,0.05892733484506607
5,CAL-Log,yahoo_answers_topics,7.461814166233245,0.02886904761904762,0.024299338459968567
6,CAL-Log,yahoo_answers_topics,8.876310908826419,0.03368785726658583,0.006903462111949921
7,CAL-Log,yahoo_answers_topics,10.274276511205564,0.03368383404864092,0.01732366532087326
8,CAL-Log,yahoo_answers_topics,11.761509169182968,0.02707953855494839,4.429370164871216e-05
9,CAL-Log,yahoo_answers_topics,13.330994469824898,0.01370716510903427,0.035763174295425415
10,CAL-Log,yahoo_answers_topics,14.942414810645097,0.0853297428075297,0.04231917858123779
11,CAL-Log,yahoo_answers_topics,16.565166327398632,0.04509513884219727,0.018583260476589203
12,CAL-Log,yahoo_answers_topics,18.219520451608155,0.04365730923846848,0.008790358901023865
13,CAL-Log,yahoo_answers_topics,19.901312712277857,0.014241486068111453,0.03248734772205353
14,CAL-Log,yahoo_answers_topics,21.61315015346813,0.08858082299503037,0.04578285664319992
15,CAL-Log,yahoo_answers_topics,23.414261344339906,0.16054081136739565,0.07554690539836884
16,CAL-Log,yahoo_answers_topics,25.21644212130095,0.17135349943408604,0.10044008493423462
17,CAL-Log,yahoo_answers_topics,27.12992457926328,0.026887218963831866,0.026711463928222656
